State,fips,ratePer100k
"Union County, Florida(6)",12125,1143.5
"Logan County, Nebraska(6)",31113,739.4
"Greer County, Oklahoma(6)",40055,710.4
"Powell County, Kentucky(7)",21197,648.2
"Sherman County, Nebraska(6)",31163,629.5
"Palo Alto County, Iowa(7)",19147,627.2
"Kingsbury County, South Dakota(6)",46077,621.5
"Yukon-Koyukuk Census Area, Alaska(6)",2290,612.8
"Estill County, Kentucky(7)",21065,610.1
"Floyd County, Kentucky(7)",21071,609.8
"Taylor County, Kentucky(7)",21217,608.8
"Prairie County, Montana(6)",30079,606.6
"Woodruff County, Arkansas(6)",5147,603.9
"Golden Valley County, Montana(6)",30037,603.3
"Lee County, Kentucky(7)",21129,603.2
"Perry County, Kentucky(7)",21193,603.1
"Breathitt County, Kentucky(7)",21025,595.6
"Lawrence County, Kentucky(7)",21127,594.6
"Pickens County, Georgia(7)",13227,584.3
"Carter County, Kentucky(7)",21043,583.4
"Towns County, Georgia(7)",13281,582.8
"Monroe County, Kentucky(7)",21171,581.1
"Polk County, Texas(6)",48373,580
"Owsley County, Kentucky(7)",21189,579.8
"Carroll County, Kentucky(7)",21041,576
"Nicholas County, Kentucky(7)",21181,575.5
"Mingo County, West Virginia(6)",54059,575.4
"Knox County, Kentucky(7)",21121,574.5
"Bath County, Kentucky(7)",21011,569.8
"Miner County, South Dakota(6)",46097,565.3
"Russell County, Kentucky(7)",21207,564.8
"McLean County, Kentucky(7)",21149,564.8
"Cape May County, New Jersey(7)",34009,564.6
"Bracken County, Kentucky(7)",21023,564.5
"Fleming County, Kentucky(7)",21069,564.3
"Lewis County, Kentucky(7)",21135,563.7
"Cerro Gordo County, Iowa(7)",19033,562.9
"Mercer County, Kentucky(7)",21167,562.9
"Pike County, Kentucky(7)",21195,562.7
"Lincoln County, Kentucky(7)",21137,561.5
"Grundy County, Illinois(6)",17063,559.8
"Johnson County, Kentucky(7)",21115,559.1
"Clay County, Kentucky(7)",21051,559.1
"Warren County, New York(7)",36113,558.7
"Nassau County, Florida(6)",12089,557.5
"Petersburg City, Virginia(6)",51730,556.8
"Logan County, Illinois(6)",17107,556.4
"Lee County, Georgia(7)",13177,556.2
"Logan County, West Virginia(6)",54045,556
"Catahoula Parish, Louisiana(7)",22025,554.9
"Holmes County, Mississippi(6)",28051,554.6
"Rockcastle County, Kentucky(7)",21203,554.5
"Vilas County, Wisconsin(6)",55125,554.3
"Salem County, New Jersey(7)",34033,554.1
"Lowndes County, Alabama(6)",1085,553.9
"Renville County, North Dakota(6)",38075,553.7
"Clay County, Arkansas(6)",5021,553.7
"Niagara County, New York(7)",36063,552.5
"Grayson County, Kentucky(7)",21085,552
"Christian County, Illinois(6)",17021,551.7
"Jefferson County, New York(7)",36045,551.5
"Marion County, Kentucky(7)",21155,551.3
"Lawrence County, Arkansas(6)",5075,551
"Monroe County, Arkansas(6)",5095,550.7
"Vinton County, Ohio(6)",39163,550.6
"Sargent County, North Dakota(6)",38081,550.1
"Bullitt County, Kentucky(7)",21029,550
"Monona County, Iowa(7)",19133,549.8
"Boone County, West Virginia(6)",54005,549.7
"Montour County, Pennsylvania(6)",42093,549.6
"Garrard County, Kentucky(7)",21079,549.1
"Hart County, Kentucky(7)",21099,549
"Grant County, Kentucky(7)",21081,548.4
"Clinton County, Kentucky(7)",21053,548.2
