State,fips,ratePer100k
"Union County, Florida(6)",12125,196.3
"Owsley County, Kentucky(7)",21189,164.7
"Breathitt County, Kentucky(7)",21025,149.1
"Hardin County, Illinois(6)",17069,133.6
"Knox County, Kentucky(7)",21121,133.3
"Powell County, Kentucky(7)",21197,132.5
"Carroll County, Kentucky(7)",21041,131.7
"Perry County, Kentucky(7)",21193,130.5
"Floyd County, Kentucky(7)",21071,130.3
"McCreary County, Kentucky(7)",21147,129.8
"North Slope Borough, Alaska(6)",2185,126.2
"Clay County, Kentucky(7)",21051,125.7
"Whitley County, Kentucky(7)",21235,123.8
"Harlan County, Kentucky(7)",21095,123.6
"Galax City, Virginia(6)",51640,122.3
"Lake County, Tennessee(6)",47095,121.4
"Mingo County, West Virginia(6)",54059,120.6
"Leslie County, Kentucky(7)",21131,120.5
"Mercer County, Missouri(6)",29129,120.1
"Bath County, Kentucky(7)",21011,119.7
"Martin County, Kentucky(7)",21159,119.6
"Poinsett County, Arkansas(6)",5111,118.2
"Lewis County, Kentucky(7)",21135,116.5
"Lawrence County, Arkansas(6)",5075,116.4
"Mississippi County, Missouri(6)",29133,116.2
"St. Francois County, Missouri(6)",29187,116.1
"Bracken County, Kentucky(7)",21023,116
"Pike County, Kentucky(7)",21195,115.6
"Estill County, Kentucky(7)",21065,115.4
"Monroe County, Kentucky(7)",21171,115.4
"Madison County, Missouri(6)",29123,115.2
"Claiborne County, Tennessee(6)",47025,115.1
"Trousdale County, Tennessee(6)",47169,114.4
"Hart County, Kentucky(7)",21099,114.3
"Clinton County, Kentucky(7)",21053,114
"Edmonson County, Kentucky(7)",21061,113.3
"Wolfe County, Kentucky(7)",21237,113.3
"Pulaski County, Illinois(6)",17153,112.1
"Calhoun County, Arkansas(6)",5013,111.8
"Boone County, West Virginia(6)",54005,111.8
"Barren County, Kentucky(7)",21009,111.7
"Rockcastle County, Kentucky(7)",21203,111.3
"Montgomery County, Kentucky(7)",21173,111.2
"Campbell County, Tennessee(6)",47013,110.5
"Polk County, Tennessee(6)",47139,110.1
"Nicholas County, Kentucky(7)",21181,109.9
"Lincoln County, Kentucky(7)",21137,109.7
"Wirt County, West Virginia(6)",54105,109.3
"McLean County, Kentucky(7)",21149,109.2
"Carroll County, Tennessee(6)",47017,109
"Cleveland County, Arkansas(6)",5025,109
"Brown County, Illinois(6)",17009,108.9
"Johnson County, Kentucky(7)",21115,108.8
"Harrison County, Kentucky(7)",21097,108.6
"Letcher County, Kentucky(7)",21133,108.4
"Franklin County, Illinois(6)",17055,108.3
"Randolph County, Arkansas(6)",5121,108.1
"Jackson County, Arkansas(6)",5067,108
"Union County, Tennessee(6)",47173,107.9
"Clay County, West Virginia(6)",54015,107.8
"Gallatin County, Kentucky(7)",21077,107.7
"Lawrence County, Kentucky(7)",21127,107.5
"Logan County, West Virginia(6)",54045,107.3
"Pendleton County, Kentucky(7)",21191,107.2
"Metcalfe County, Kentucky(7)",21169,107.1
"Clay County, Arkansas(6)",5021,107.1
"Logan County, Illinois(6)",17107,106.7
"Dunklin County, Missouri(6)",29069,106.4
"Knott County, Kentucky(7)",21119,106.3
"Arenac County, Michigan(6)",26011,106.1
"Vinton County, Ohio(6)",39163,106.1
"Lincoln County, West Virginia(6)",54043,106.1
"Perry County, Tennessee(6)",47135,106
"Overton County, Tennessee(6)",47133,105.9
"Rolette County, North Dakota(6)",38079,105.7
"Bourbon County, Kentucky(7)",21017,105.5
"Butler County, Kentucky(7)",21031,105.3
"Decatur County, Tennessee(6)",47039,104.9
"Schoolcraft County, Michigan(6)",26153,104.6
"Lee County, Kentucky(7)",21129,104.5
"Benton County, Tennessee(6)",47005,104.5
"Cumberland County, Kentucky(7)",21057,104.4
"Caldwell Parish, Louisiana(7)",22021,104.3
"Jackson County, Kentucky(7)",21109,104
"Starke County, Indiana(6)",18149,104
"Crawford County, Georgia(7)",13079,104
"Fentress County, Tennessee(6)",47049,104
"Breckinridge County, Kentucky(7)",21027,103.8
"Ohio County, Kentucky(7)",21183,103.4
"New Madrid County, Missouri(6)",29143,103.3
"Hawkins County, Tennessee(6)",47073,103.2
"Grand Isle County, Vermont(6)",50013,103.2
"Laurel County, Kentucky(7)",21125,102.6
"Woodruff County, Arkansas(6)",5147,102.2
"Polk County, Georgia(7)",13233,102.1
"Perry County, Arkansas(6)",5105,101.7
"Butler County, Missouri(6)",29023,101.7
"Carlisle County, Kentucky(7)",21039,101.6
"Yalobusha County, Mississippi(6)",28161,101.6
"Crawford County, Missouri(6)",29055,101.5
"Greenup County, Kentucky(7)",21089,101.1
"Fleming County, Kentucky(7)",21069,100.8
"Rhea County, Tennessee(6)",47143,100.8
"Monroe County, Tennessee(6)",47123,100.8
"Todd County, Kentucky(7)",21219,100.5
"Casey County, Kentucky(7)",21045,100.4
"Nowata County, Oklahoma(6)",40105,100.3
"Grayson County, Kentucky(7)",21085,100.3
"Fayette County, West Virginia(6)",54019,100.3
"Pleasants County, West Virginia(6)",54073,100.3
"Russell County, Kentucky(7)",21207,100.2
"Hickman County, Tennessee(6)",47081,100.1
"Carter County, Missouri(6)",29035,100.1
"Wyoming County, West Virginia(6)",54109,99.8
"Jefferson County, Indiana(6)",18077,99.8
"Menifee County, Kentucky(7)",21165,99.5
"Christian County, Illinois(6)",17021,99.4
"Benton County, Missouri(6)",29015,99.3
"Mississippi County, Arkansas(6)",5093,99.2
"Brown County, Ohio(6)",39015,99.1
"Lafayette County, Florida(6)",12067,99.1
"Polk County, Texas(6)",48373,99.1
"Pike County, Ohio(6)",39131,99
"Lewis County, West Virginia(6)",54041,99
"McDowell County, West Virginia(6)",54047,99
"Lewis County, Tennessee(6)",47101,98.7
"Henry County, Missouri(6)",29083,98.5
"Grainger County, Tennessee(6)",47057,98.4
"Putnam County, Indiana(6)",18133,98.3
"Roane County, West Virginia(6)",54087,98.2
"Bell County, Kentucky(7)",21013,98.1
"Anderson County, Kentucky(7)",21005,98.1
"Bullitt County, Kentucky(7)",21029,98.1
"Montgomery County, Missouri(6)",29139,98
"Jackson County, Ohio(6)",39079,98
"Irwin County, Georgia(7)",13155,97.9
"Gallatin County, Illinois(6)",17059,97.8
"Brantley County, Georgia(7)",13025,97.7
"Wayne County, Kentucky(7)",21231,97.7
"Oswego County, New York(7)",36075,97.5
"Pamlico County, North Carolina(6)",37137,97.5
"Hancock County, Tennessee(6)",47067,97.5
"Grant County, Kentucky(7)",21081,97.5
"Ripley County, Missouri(6)",29181,97.4
"Washington County, Missouri(6)",29221,97.4
"Meade County, Kentucky(7)",21163,97.4
"Mason County, Illinois(6)",17125,97.2
"East Carroll Parish, Louisiana(7)",22035,97
"Muhlenberg County, Kentucky(7)",21177,96.8
"Caldwell County, Kentucky(7)",21033,96.8
"McNairy County, Tennessee(6)",47109,96.8
"Monroe County, Arkansas(6)",5095,96.8
"Daviess County, Kentucky(7)",21059,96.7
"Houston County, Tennessee(6)",47083,96.6
"Worth County, Georgia(7)",13321,96.5
"Logan County, Arkansas(6)",5083,96.3
"Crittenden County, Kentucky(7)",21055,96.1
"Monroe County, Missouri(6)",29137,96.1
"Hardeman County, Tennessee(6)",47069,96.1
"Sussex County, Virginia(6)",51183,96
"Vermillion County, Indiana(6)",18165,96
"Harmon County, Oklahoma(6)",40057,95.9
"Mercer County, Kentucky(7)",21167,95.9
"De Witt County, Illinois(6)",17039,95.8
"Tunica County, Mississippi(6)",28143,95.8
"Scott County, Indiana(6)",18143,95.4
"Greer County, Oklahoma(6)",40055,95.4
"Marion County, Kentucky(7)",21155,95.3
"Greensville County, Virginia(6)",51081,95.3
"Scott County, Tennessee(6)",47151,95.2
"Sharp County, Arkansas(6)",5135,95.1
"Heard County, Georgia(7)",13149,95.1
"Hardin County, Kentucky(7)",21093,95.1
"Glascock County, Georgia(7)",13125,95
"Emporia City, Virginia(6)",51595,95
"Logan County, Kentucky(7)",21141,94.9
"Macoupin County, Illinois(6)",17117,94.9
"Lauderdale County, Tennessee(6)",47097,94.8
"Scotland County, North Carolina(6)",37165,94.5
"Macon County, Illinois(6)",17115,94.5
"Johnson County, Illinois(6)",17087,94.5
"Cocke County, Tennessee(6)",47029,94.5
"Morgan County, Missouri(6)",29141,94.2
"Pulaski County, Missouri(6)",29169,94
"Massac County, Illinois(6)",17127,93.9
"Itawamba County, Mississippi(6)",28057,93.8
"Tallahatchie County, Mississippi(6)",28135,93.7
"Jessamine County, Kentucky(7)",21113,93.7
"Richland County, Illinois(6)",17159,93.7
"Adams County, Ohio(6)",39001,93.6
"Meigs County, Tennessee(6)",47121,93.6
"Lincoln County, Missouri(6)",29113,93.3
